trait,attribute,family
position of the facial pit,below the naso-ocular line,viperidae
subcaudals,entire,viperidae
dorsal head plates,heavily fractured,viperidae
crotalus lepidus,tbl to 83 cm,viperidae
dorsal bands,"13-31 narrow, dark brown or black, irregularly spaced",viperidae
bands on the tail,2-3 (1-6),viperidae
the bands,often bordered by paler pigments,viperidae
small spots or irregular gray mottling,may occur between the bands,viperidae
pinkish brown stripe,runs backward from under the eye to the corner of the mouth,viperidae
venter,"pink to light tan anteriorly, but more gray toward the tail",viperidae
dorsal body scales,keeled,viperidae
dorsal body scales rows,"23 or 25 (21-26) anterior rows, 23 (20-26) midbody rows, and 17-18 (14-20) rows near the tail",viperidae
ventrals,147-173,viperidae
subcaudals,16-33,viperidae
anal plate,undivided,viperidae
internasals,touch medially,viperidae
scales in the internasal-prefrontal area,5-15,viperidae
supraoculars,2,viperidae
intersupraoculars,2 (1-4),viperidae
nasals,2,viperidae
prenasal,touches a supralabial,viperidae
postnasal,does not contact the upper preocular,viperidae
loreal,1 (2),viperidae
prefoveals,3 (0-7),viperidae
preoculars,2 (3-4),viperidae
postoculars,2 (1-5),viperidae
suboculars,3 (2-5),viperidae
supralabials,12-13 (10-15),viperidae
infralabials,11-12 (9-13),viperidae
hemipenis,"short, bifurcate",viperidae
sulcus spermaticus,divided,viperidae
spines per lobe,about 33,viperidae
fringes per lobe,19,viperidae
males,"147-172 ventrals, 20-33 subcaudals, and tls 6.9-10.4 % of tbl",viperidae
females,"149-173 ventrals, 16-24 subcaudals, and tls 5.4-8.5 % of tbl",viperidae
adult males,are longer than adult females,viperidae
dark gray or brown stripe,extending backward from the orbit to the corner of the mouth,viperidae
mottled dorsal body pattern,with the crossbands faded and only slightly distinct from the pale ground color,viperidae
venter,relatively dark,viperidae
ground color,crossed by well-defined dark bands with little mottling between,viperidae
venter,light-colored,viperidae
dorsal series of spots,"small, often longer than wide and in a primary series averaging 29-31 spots",viperidae
ground color,heavily pigmented between the spots,viperidae
ventrals and caudals,having an increase,viperidae
upper preocular,divided,viperidae
ground color,dark,viperidae
tail color,lighter than dorsum of body,viperidae
dorsal pattern,series of 31 dark brown spots extending from head to tail,viperidae
dorsal spots,often longer than wide,viperidae
lateral spots,"one row, become more obvious posteriorly and fuse with dorsal spots",viperidae
ground color,"a dark brown, nearly uniform, with some dark flecking particularly between the dorsal and lateral spots",viperidae
venter,heavily marbled – dark markings and flecks,viperidae
head color,without marks on dorsum; a dark stripe from eye to temporal area,viperidae
labials,"marbled, with less light markings on supralabials; snout a uniform dark brown",viperidae
tail,"with one complete bar and four lateral spots on each side, dorsal area posterior to first bar light brown",viperidae
proximal rattle,rust red,viperidae
total length,591 mm,viperidae
tail,56 mm,viperidae
head length,26.2,viperidae
rattle,small,viperidae
dorsal body scale rows,23-23-17,viperidae
tail scale rows,12,viperidae
fringe scales around first rattle,10,viperidae
ventrals,169,viperidae
caudals,30,viperidae
anal,complete,viperidae
supralabials,12-13,viperidae
infralabials,10-11,viperidae
preoculars,2-2 elongate,viperidae
postoculars,3-3,viperidae
suboculars,2-2,viperidae
anterior subocular,"round, enlarged and in contact with the orbit and the fourth and fifth supralabials",viperidae
rostral,"wider (3.8) than high (3.0), not deeply wedging between internasals",viperidae
pair of infralabials,in broad contact on the midventral line,viperidae
genials,"large, elongate, in contact with first three infralabials anteriorly",viperidae
five gulars,between genials and first ventral,viperidae
dorsal spots,often longer than wide and margined with a fine edging of light yellowish or golden brown,viperidae
one row of lateral spots,spot becomes more obvious posteriorly and fuse with dorsal spots,viperidae
ground color,"a dark brown, nearly uniform, but with some dark flecking particularly between the dorsal and lateral spots",viperidae
venter,heavily marbled,viperidae
head color,without marks on dorsum; a dark stripe from eye to temporal area,viperidae
labials,"marbled, with less light markings on supralabials; snout a uniform dark brown",viperidae
tail,"with one complete bar and four lateral spots on each side, dorsal area posterior to first bar light brown",viperidae
proximate rattle,rust red,viperidae
muzzle,broad,viperidae
rostral,small,viperidae
scales between superciliaries,"small, uniform",viperidae
frontal plates,two,viperidae
postfrontal,four,viperidae
inter superciliary,two,viperidae
scales between the labials and suborbital row,five rows,viperidae
labials,"18 above, fifth and sixth largest; 17 below",viperidae
dorsal rows of scales,29,viperidae
tail color,uniform black,viperidae
general color,roll sulphur,viperidae
a series of chestnut-brown transverse lozenges,exterior corners produced to the abdomen,viperidae
centres of lozenges,with one or two spots,viperidae
head,very broad in front; outline nearly rectangular,viperidae
anterior nasal,subtriangular,viperidae
scales on top of head,numerous smooth subtuberculous,viperidae
suborbitals,"large, extending to the anterior canthus",viperidae
scales,carinated but slightly,viperidae
tail,black,viperidae
along the back,transverse reddish or chestnut-brown lozenges,viperidae
scales exterior to the lozenges,rather lighter,viperidae
superciliaries and scales anterior to them,light greenish brown,viperidae
tail,"uniform dark brown above, paler beneath",viperidae
individual scale,the same uniform tint to its base,viperidae
scale rows between supraoculars,"minimum 2, rarely 3",viperidae
large plates between the anterior portion of the supraoculars,usually 2,viperidae
smaller plates behind anterior portion of supraoculars,3,viperidae
a definite suture on top of the head,present,viperidae
number of scales in front of the suture,reduced,viperidae
postnasals,not in contact with upper preoculars,viperidae
upper loreal,absent,viperidae
postocular pale stripe,1 scale wide,viperidae
dorsal body blotches,"bordered by pale, unicolored scales",viperidae
tail,ringed by dark and white bands,viperidae
dark tail bands,narrower than the white ones,viperidae
color of the dark tail bands,from brown proximally to black distally,viperidae
"pale, unicolored scales",bordering dorsal body blotches,viperidae
postorbital stripe,"dark, extending to angle of mouth or beyond",viperidae
distal dark tail bands,black,viperidae
color of the proximal lobe of rattle matrix,black except in juveniles,viperidae
dorsal body blotches,without pale borders,viperidae
postorbital stripe,"dark, not extending as far as angle of mouth",viperidae
distal dark tail bands,"not black, not in contrast to posterior body blotches",viperidae
upper part of proximal lobe of rattle matrix,"only slightly, if at all, darkened",viperidae
crotalus,small,viperidae
tail,"long, slender",viperidae
rattle,very small,viperidae
first pair of lower labials,"long, produced backwards broadly in contact behind the symphisial",viperidae
scales,25-160-24,viperidae
length of body,380 mm,viperidae
tail,35mm,viperidae
head,flat,viperidae
snout,slightly elevated,viperidae
rostral,higher than wide,viperidae
preocular,"large, not divided vertically",viperidae
loreal,single,viperidae
supra labials,14,viperidae
inferior labials,13,viperidae
color,light olive brown,viperidae
dorsal region,"crossed by nineteen lighter bands, each one scale length in width and narrowly margined with black",viperidae
ventral surface,"speckled and mottled with black, becoming darker posteriorly",viperidae
supraocular,light ash color,viperidae
occiput,"with a large ashy blotch, more or less reticulated posteriorly with darker",viperidae
snout,olive brown,viperidae
rostral,with white median line,viperidae
prominent white flashmarks on the head,lacking,viperidae
dorsal scale count at midbody,"low, mode 25",viperidae
number of subcaudals,"average 30.1 in males, 25.9 in females",viperidae
ground color,light grey or brownish,viperidae
abundance of melanophore fine-stippling on the surfaces of the head,abundant,viperidae
head and neck distinction,very distinct,viperidae
head scales,"small, keeled, imbricate",viperidae
supraoculars,narrow,viperidae
nostril,large,viperidae
nasal shield,large,viperidae
eye pupil,vertically elliptic,viperidae
circumocular scales,"10-15, small",viperidae
rows of scales separating the circumocular scales from the upper labials,"3-4, small",viperidae
temporals,small,viperidae
upper labials,10-12,viperidae
longitudinal rows of scales at midbody,"27-33, strongly keeled",viperidae
ventrals,153-180,viperidae
subcaudals,"41-64, all paired",viperidae
dorsal color,light brown,viperidae
spots or blotches color,large black-margined brown,viperidae
longitudinal stripe,chain-like,viperidae
vertebral and lateral series,additional longitudinal series of small dark,viperidae
underbelly color,yellowish white,viperidae
underbelly markings,dark brown,viperidae
total length,1600 mm,viperidae
snout,produced into 8 pointed dermal appendage directed forwards,viperidae
rostral,as deep as broad or deeper than broad,viperidae
upper head-shields,finely granulate,viperidae
frontal,"as long as or a little longer than the prefrontals, shorter than the parietals",viperidae
upper præocular,separated from the posterior nasal by a loreal,viperidae
postocular and subocular,one,viperidae
upper labials,"seven, second forming the anterior border of the loreal pit, third and fourth largest",viperidae
lower temporals,"three large, anterior largest",viperidae
scales,"strongly and tubercularly keeled, in 21 rows",viperidae
ventrals,162-166,viperidae
anal,entire,viperidae
subcaudals,"58-60, mostly in pairs, 6 to 13 of the anterior single",viperidae
coloration,brown above,viperidae
markings,blackish-brown x-shaped markings or alternating >-shaped ones,viperidae
head color,"dark brown above, yellow on the sides",viperidae
streak,"black, from the eye to the angle of the mouth",viperidae
below,yellowish,viperidae
spots,dark brown,viperidae
lateral series of blotches,large black,viperidae
total length,1500 millim,viperidae
tail,200 millim,viperidae
scale counts,"v. 165, 166, 162, 163; c. 59, 60, 58",viperidae
males,3,viperidae
ventral scales,"large number, av. = 188.1",viperidae
dorsal scales,"large number, av. = 37.1",viperidae
lateral scales,"large number, av. = 10.3",viperidae
scales over eyes,lacks,viperidae
light wavy stripes on the sides,present,viperidae
white stripes on the back,transverse and narrow,viperidae
crosslike figure on top,present,viperidae
costals at midbody,"24-31, usually 27 or 28",viperidae
v,"136-153, usually 148",viperidae
sc,25-30,viperidae
circum-orbital scales,"11-13, usually 12 or 13",viperidae
scales separating supraoculars,8-9,viperidae
scales between eye and labial,1 sometimes 2 or more,viperidae
